,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,15,1,1,1,One fine day an old Maine man was fishing ,1,1,One fine day an old fisherman ,
1,15,1,1,2,on his favorite lake ,0,,,
2,15,1,1,3,and catching very little,1,3,after catching no fish,
3,15,1,1,4,"Finally, he gave up",0,,,
4,15,1,1,5,and walked back along the shore to his fishing shack,1,2,went to his cabin ,
5,15,1,1,6,"When he got close to the front door, he saw it was open.",1,4,He found the cabin door open,
6,15,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,5,"Being of a suspicious nature, he checked for an intruder. ",
7,15,1,1,8,There was a big black bear,0,,,
8,15,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,15,1,1,10,The molasses spilled all over the floor,0,,,
10,15,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,15,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,6,"Startled, the bear ran out of the cabin The bear ran to the riverside ",
12,15,1,1,13,Standing on its hind legs,0,,,
13,15,1,1,14,it held up the paw full of molasses,0,,,
14,15,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,15,1,1,16,all over the sticky sweet paw,1,7,his sticky paw,not counted in orig data counted here
16,15,1,1,17,Then the bear waded into the water,0,,,miscounted in orig data excluded here
17,15,1,1,18,with his sticky paw full of bugs,0,,,miscounted in orig data excluded here
18,15,1,1,19,It held the paw out over the water,0,,,
19,15,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,8,The paw attracted a big trout,
20,15,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,9,The bear flung the trout all the way to the surface. ,
21,15,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,10,Soon another fish jumped at the sight of the paw,
22,15,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,11,The bear threw each trout in succession.,
23,15,1,1,24,Soon it had a large pile,0,,,
24,15,1,1,25,The old man had caught nothing,1,14,having caught nothing,
25,15,1,1,26,He watched that bear eat half a dozen trout,1,12,He had eaten half a dozen,
26,15,1,1,27,his stomach rumbling,0,,,
27,15,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,
28,15,1,1,29,Finally the bear paused in his eating,0,,,
29,15,1,1,30,and looked over to the bushes where the old man was hidden,1,13;15,The old man watched from the bushes;Seeing him,not counted in orig data counted here
30,15,1,1,31,The bear stood up and laid the remaining fish in a row,1,16,the bear lined up the remaining fish in a stack.,
31,15,1,1,32,Then it walked away up the shore,0,,,
32,15,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,15,1,1,34,"Sure enough, the bear had left six large trout for him",0,,,
34,15,1,1,35,He looked over at the bear,0,,,
35,15,1,1,36,It was standing at the edge of the wood watching,0,,,
36,15,1,1,37,"""Thanks a lot,"" the old man called to the bear",1,17,"“Thank you,” said the old man to the bear",
37,15,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,15,1,1,39,and disappeared into the thicket,0,,,
39,15,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
40,15,1,1,41,The old man never hunted bears again,1,18,He vowed to never hunt bears again.,
41,15,1,2,1,One fine day an old Maine man was fishing ,1,1,"One fine day, an old Maine man ",
42,15,1,2,2,on his favorite lake ,0,,,
43,15,1,2,3,and catching very little,1,3, after a long day of fishing and catching nothing,
44,15,1,2,4,"Finally, he gave up",0,,,
45,15,1,2,5,and walked back along the shore to his fishing shack,1,2,went to his fishing shack ,
46,15,1,2,6,"When he got close to the front door, he saw it was open.",1,4,He found the door open,
47,15,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,5,"Being of a suspicious nature, he quietly peeked around the corner",
48,15,1,2,8,There was a big black bear,1,6,A big black bear was foraging in his house,
49,15,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,1,7,with his tooth stuck in the molasses jug,
50,15,1,2,10,The molasses spilled all over the floor,0,,,
51,15,1,2,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
52,15,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,8,"He screamed, which caused the bear to startle and run to the lake shore",
53,15,1,2,13,Standing on its hind legs,0,,,
54,15,1,2,14,it held up the paw full of molasses,1,9,He held his paw full of molasses in the air,
55,15,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,13,"continued to attract fish, with its flies, bugs, and worms. ",
56,15,1,2,16,all over the sticky sweet paw,1,12,His sticky paw,
57,15,1,2,17,Then the bear waded into the water,0,,,
58,15,1,2,18,with his sticky paw full of bugs,0,,,
59,15,1,2,19,It held the paw out over the water,0,,,
60,15,1,2,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,10,The sticky paw attracted a big trout,
61,15,1,2,21,The bear gave it a swat and it flew to the shore and flopped there,1,11,He flung the trout all the way to the shore,
62,15,1,2,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
63,15,1,2,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,
64,15,1,2,24,Soon it had a large pile,0,,,
65,15,1,2,25,The old man had caught nothing,0,,,
66,15,1,2,26,He watched that bear eat half a dozen trout,1,14,He had eaten at least half a dozen,
67,15,1,2,27,his stomach rumbling,0,,,
68,15,1,2,28,All he had for dinner was some bread and what was left of the molasses,1,16,He had only had bread and what was left of the molasses for dinner,
69,15,1,2,29,Finally the bear paused in his eating,0,,,
70,15,1,2,30,and looked over to the bushes where the old man was hidden,1,15;17,while the old man watched from the bushes;Seeing him,
71,15,1,2,31,The bear stood up and laid the remaining fish in a row,1,18,the bear lined up the remaining fish in a row,
72,15,1,2,32,Then it walked away up the shore,0,,,
73,15,1,2,33,The old man crept out of the bushes and down to the shore,0,,,
74,15,1,2,34,"Sure enough, the bear had left six large trout for him",0,,,
75,15,1,2,35,He looked over at the bear,0,,,
76,15,1,2,36,It was standing at the edge of the wood watching,0,,,
77,15,1,2,37,"""Thanks a lot,"" the old man called to the bear",1,19,"The old man said, “Thank you”, to the bear",
78,15,1,2,38,The bear waved the now-clean paw at the old man,0,,,
79,15,1,2,39,and disappeared into the thicket,0,,,
80,15,1,2,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
81,15,1,2,41,The old man never hunted bears again,1,20,He vowed never to hunt bear again.,
82,15,1,3,1,One fine day an old Maine man was fishing ,0,,,
83,15,1,3,2,on his favorite lake ,0,,,
84,15,1,3,3,and catching very little,1,2,after a day of unsuccessful fishing,not counted in orig data counted here
85,15,1,3,4,"Finally, he gave up",0,,,
86,15,1,3,5,and walked back along the shore to his fishing shack,0,,,
87,15,1,3,6,"When he got close to the front door, he saw it was open.",1,1,Naturally he was surprised to find his door open,
88,15,1,3,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
89,15,1,3,8,There was a big black bear,0,,,
90,15,1,3,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
91,15,1,3,10,The molasses spilled all over the floor,0,,,
92,15,1,3,11,"and the bear rubbed his paw in it, smearing it all over",0,,,miscounted in orig data excluded here
93,15,1,3,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,3,"He screamed. The bear, startled, ran out the house The bear ran to the pond ",
94,15,1,3,13,Standing on its hind legs,0,,,
95,15,1,3,14,it held up the paw full of molasses,0,,,
96,15,1,3,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
97,15,1,3,16,all over the sticky sweet paw,0,,,
98,15,1,3,17,Then the bear waded into the water,0,,,
99,15,1,3,18,with his sticky paw full of bugs,0,,,
100,15,1,3,19,It held the paw out over the water,0,,,
101,15,1,3,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",0,,,
102,15,1,3,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,miscounted in orig data excluded here
103,15,1,3,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,4,Fish after fish were biting at his paw,
104,15,1,3,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,5,so he systematically flung them to the shore,not counted in orig data counted here
105,15,1,3,24,Soon it had a large pile,0,,,
106,15,1,3,25,The old man had caught nothing,0,,,
107,15,1,3,26,He watched that bear eat half a dozen trout,0,,,
108,15,1,3,27,his stomach rumbling,0,,,
109,15,1,3,28,All he had for dinner was some bread and what was left of the molasses,0,,,
110,15,1,3,29,Finally the bear paused in his eating,0,,,
111,15,1,3,30,and looked over to the bushes where the old man was hidden,1,6,"The fisherman watched from a distance. The bear, seeing him",not counted in orig data counted here
112,15,1,3,31,The bear stood up and laid the remaining fish in a row,0,,,
113,15,1,3,32,Then it walked away up the shore,0,,,
114,15,1,3,33,The old man crept out of the bushes and down to the shore,0,,,
115,15,1,3,34,"Sure enough, the bear had left six large trout for him",1,7,"left the remaining fish, seemingly out of sympathy",not counted in orig data counted here
116,15,1,3,35,He looked over at the bear,0,,,
117,15,1,3,36,It was standing at the edge of the wood watching,0,,,
118,15,1,3,37,"""Thanks a lot,"" the old man called to the bear",1,8,The man thanked the bear,
119,15,1,3,38,The bear waved the now-clean paw at the old man,0,,,
120,15,1,3,39,and disappeared into the thicket,0,,,
121,15,1,3,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
122,15,1,3,41,The old man never hunted bears again,0,,,
123,15,2,1,1,I was shopping at my local supermarket,1,1,One day I was at my local grocery store ,
124,15,2,1,2,as I normally have for years.,1,2,where I had shopped normally for years,
125,15,2,1,3,"One particular day, I had done about 2 weeks’ worth of shopping",1,3,I had about two weeks’ worth of groceries,
126,15,2,1,4,and was headed toward the register to pay for my groceries.,0,,,
