,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,21,1,1,1,One fine day an old Maine man was fishing ,1,1,One day old Maine walked came back from fishing,
1,21,1,1,2,on his favorite lake ,0,,,
2,21,1,1,3,and catching very little,1,2,having caught very little,
3,21,1,1,4,"Finally, he gave up",0,,,
4,21,1,1,5,and walked back along the shore to his fishing shack,1,3,Just as he walked into the fishing shack,
5,21,1,1,6,"When he got close to the front door, he saw it was open.",0,,,
6,21,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,21,1,1,8,There was a big black bear,0,,,
8,21,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,1,4,he saw a bear using his teeth to open a molasses jar,
9,21,1,1,10,The molasses spilled all over the floor,0,,,
10,21,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,21,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
12,21,1,1,13,Standing on its hind legs,0,,,
13,21,1,1,14,it held up the paw full of molasses,1,5,The bear raised his hand full of molasses ,
14,21,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,1,6,attracted a bunch of bugs and flies,
15,21,1,1,16,all over the sticky sweet paw,0,,,
16,21,1,1,17,Then the bear waded into the water,0,,,
17,21,1,1,18,with his sticky paw full of bugs,0,,,
18,21,1,1,19,It held the paw out over the water,1,7,so he put his hand in the water,
19,21,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",0,,,
20,21,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,
21,21,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,8,The bug and flies attracted trout.  So every time the bear’s paw was in the air,
22,21,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,9,he swatted the trout away and flung them onto the shore,
23,21,1,1,24,Soon it had a large pile,0,,,
24,21,1,1,25,The old man had caught nothing,1,10,"Having caught very little that day, ",
25,21,1,1,26,He watched that bear eat half a dozen trout,0,,,Miscounted in orig data excluded here
26,21,1,1,27,his stomach rumbling,1,11,his stomach was rumbling ,
27,21,1,1,28,All he had for dinner was some bread and what was left of the molasses,1,12,The only thing the fisherman had to eat was some bread and what was left of his molasses,
28,21,1,1,29,Finally the bear paused in his eating,0,,,
29,21,1,1,30,and looked over to the bushes where the old man was hidden,0,,,
30,21,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,21,1,1,32,Then it walked away up the shore,0,,,
32,21,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,21,1,1,34,"Sure enough, the bear had left six large trout for him",1,13,"Sure enough, the bear came up to him and gave him 6 trout fish to eat",Changed 6 to six
34,21,1,1,35,He looked over at the bear,0,,,
35,21,1,1,36,It was standing at the edge of the wood watching,0,,,
36,21,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,21,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,21,1,1,39,and disappeared into the thicket,0,,,
39,21,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",1,14,This was the first time a bear had paid him back for his molasses,
40,21,1,1,41,The old man never hunted bears again,0,,,
41,21,1,2,1,One fine day an old Maine man was fishing ,1,1,One fine day an Old Maine man went fishing ,
42,21,1,2,2,on his favorite lake ,1,2,in his favorite lake ,
43,21,1,2,3,and catching very little,1,3,caught very little,
44,21,1,2,4,"Finally, he gave up",0,,,
45,21,1,2,5,and walked back along the shore to his fishing shack,1,4,He went back to his old fishing shack and heard something,
46,21,1,2,6,"When he got close to the front door, he saw it was open.",0,,,
47,21,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,5,"Being a suspicion man, he crept through the door ",
48,21,1,2,8,There was a big black bear,1,6,saw a big black bear,
49,21,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,1,7,The bear had his teeth in the cork of a jar of molasses,
50,21,1,2,10,The molasses spilled all over the floor,1,8,"Having startled the bear, he spilled the jar of molasses ",
51,21,1,2,11,"and the bear rubbed his paw in it, smearing it all over",1,9,"and wiped his paw in it, smearing it all over",
52,21,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
53,21,1,2,13,Standing on its hind legs,0,,,
54,21,1,2,14,it held up the paw full of molasses,0,,,
55,21,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,13,covered with bugs and mosquitoes and flies,
56,21,1,2,16,all over the sticky sweet paw,1,12,The paw was sticky,Changed stick to sticky
57,21,1,2,17,Then the bear waded into the water,1,10,waded into the water,
58,21,1,2,18,with his sticky paw full of bugs,0,,,
59,21,1,2,19,It held the paw out over the water,1,11,He kept his paw above the water ,
60,21,1,2,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,14,a large trout jumped out of the water to try to catch some of the bugs,
61,21,1,2,21,The bear gave it a swat and it flew to the shore and flopped there,1,15,The bear swatted the trout and flung him onto the shore,
62,21,1,2,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,Miscounted in orig data exlcuded here
63,21,1,2,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,16,He did this many times ,
64,21,1,2,24,Soon it had a large pile,0,,,
65,21,1,2,25,The old man had caught nothing,1,17,He had caught very little that day ,
66,21,1,2,26,He watched that bear eat half a dozen trout,0,,,
67,21,1,2,27,his stomach rumbling,1,19,"As he watched, his stomach rumbled",
68,21,1,2,28,All he had for dinner was some bread and what was left of the molasses,1,18,had nothing to eat except for some bread and the rest of the molasses,
69,21,1,2,29,Finally the bear paused in his eating,0,,,
70,21,1,2,30,and looked over to the bushes where the old man was hidden,1,20,The bear noticed the old man ,
71,21,1,2,31,The bear stood up and laid the remaining fish in a row,0,,,
72,21,1,2,32,Then it walked away up the shore,0,,,
