,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,16,1,1,1,One fine day an old Maine man was fishing ,1,1,One day an old man went fishing,
1,16,1,1,2,on his favorite lake ,1,2,out on his favorite lake,
2,16,1,1,3,and catching very little,0,,,
3,16,1,1,4,"Finally, he gave up",0,,,
4,16,1,1,5,and walked back along the shore to his fishing shack,1,3,He heard a noise from his shack and returned ,
5,16,1,1,6,"When he got close to the front door, he saw it was open.",0,,,
6,16,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,4,"to glance inside the door, given his suspicious nature",
7,16,1,1,8,There was a big black bear,1,5,a large black bear ,
8,16,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,1,6,pulling the cork out of his jar of molasses,
9,16,1,1,10,The molasses spilled all over the floor,1,7,the bear knocked the jar to the floor,
10,16,1,1,11,"and the bear rubbed his paw in it, smearing it all over",1,8,the large black bear reaching into his jar of molasses and smearing his paw on the puddle that formed on the floor,
11,16,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
12,16,1,1,13,Standing on its hind legs,0,,,
13,16,1,1,14,it held up the paw full of molasses,0,,,
14,16,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,16,1,1,16,all over the sticky sweet paw,0,,,
16,16,1,1,17,Then the bear waded into the water,0,,,
17,16,1,1,18,with his sticky paw full of bugs,1,9,sticky paw ,
18,16,1,1,19,It held the paw out over the water,0,,,
19,16,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",0,,,
20,16,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,
21,16,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,10,the bear caught many fish who leapt onto his sticky paw,
22,16,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,11,flung the fish onto the lake shore,
23,16,1,1,24,Soon it had a large pile,0,,,
24,16,1,1,25,The old man had caught nothing,0,,,
25,16,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,16,1,1,27,his stomach rumbling,0,,,
27,16,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,
28,16,1,1,29,Finally the bear paused in his eating,0,,,
29,16,1,1,30,and looked over to the bushes where the old man was hidden,0,,,
30,16,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,16,1,1,32,Then it walked away up the shore,0,,,
32,16,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,16,1,1,34,"Sure enough, the bear had left six large trout for him",1,12,"Eventually, the bear left six fish on the shore for the man",Changed 6 to six
34,16,1,1,35,He looked over at the bear,0,,,
35,16,1,1,36,It was standing at the edge of the wood watching,0,,,
36,16,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,16,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,16,1,1,39,and disappeared into the thicket,0,,,
39,16,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
40,16,1,1,41,The old man never hunted bears again,0,,,
41,16,1,2,1,One fine day an old Maine man was fishing ,1,,One day a old fisherman was visiting;in Maine,
42,16,1,2,2,on his favorite lake ,1,,his favorite lake,
43,16,1,2,3,and catching very little,0,,,
44,16,1,2,4,"Finally, he gave up",0,,,
45,16,1,2,5,and walked back along the shore to his fishing shack,0,,,
46,16,1,2,6,"When he got close to the front door, he saw it was open.",0,,,
47,16,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
48,16,1,2,8,There was a big black bear,0,,,
49,16,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,1,,The bear had pulled the cork out of his jar of molasses,
50,16,1,2,10,The molasses spilled all over the floor,1,,and dropped the jar on the floor ,
51,16,1,2,11,"and the bear rubbed his paw in it, smearing it all over",1,,After smearing his paw around in a puddle of molasses on the floor,
52,16,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,,after the surprised man screamed in shock upon observing the bear;the bear ventured down to the lake ,
53,16,1,2,13,Standing on its hind legs,0,,,
54,16,1,2,14,it held up the paw full of molasses,1,,,
55,16,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,,attracting many flies and bugs,
56,16,1,2,16,all over the sticky sweet paw,0,,,
57,16,1,2,17,Then the bear waded into the water,0,,,
58,16,1,2,18,with his sticky paw full of bugs,0,,,
59,16,1,2,19,It held the paw out over the water,0,,,
60,16,1,2,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,,"Subsequently, a large trout leapt out of the water to catch the flies",
61,16,1,2,21,The bear gave it a swat and it flew to the shore and flopped there,1,,After flinging the fish onto the lake shore,
62,16,1,2,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,,followed by half a dozen other trout,
63,16,1,2,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,
64,16,1,2,24,Soon it had a large pile,0,,,
65,16,1,2,25,The old man had caught nothing,0,,,
66,16,1,2,26,He watched that bear eat half a dozen trout,0,,,
67,16,1,2,27,his stomach rumbling,0,,,
68,16,1,2,28,All he had for dinner was some bread and what was left of the molasses,0,,,
69,16,1,2,29,Finally the bear paused in his eating,0,,,
70,16,1,2,30,and looked over to the bushes where the old man was hidden,0,,,
71,16,1,2,31,The bear stood up and laid the remaining fish in a row,0,,,
72,16,1,2,32,Then it walked away up the shore,0,,,
73,16,1,2,33,The old man crept out of the bushes and down to the shore,1,,the man cautiously crept to the shore to enjoy the fish,
74,16,1,2,34,"Sure enough, the bear had left six large trout for him",1,,the bear left the remaining fish (six total) in a row for the fisherman,Changed 6 to six
75,16,1,2,35,He looked over at the bear,0,,,
76,16,1,2,36,It was standing at the edge of the wood watching,0,,,
77,16,1,2,37,"""Thanks a lot,"" the old man called to the bear",1,,the man gratefully acknowledged the bear,
