,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations
0,1,1,1,1.0,One fine day an old Maine man was fishing ,1,1,There was once an old man fishing ,
1,1,1,1,2.0,on his favorite lake ,0,,,
2,1,1,1,3.0,and catching very little,1,2,He was catching very little,
3,1,1,1,4.0,"Finally, he gave up",0,,,
4,1,1,1,5.0,and walked back along the shore to his fishing shack,1,3,He went back to his house,
5,1,1,1,6.0,"When he got close to the front door, he saw it was open.",0,,,
6,1,1,1,7.0,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,1,1,1,8.0,There was a big black bear,0,,,
8,1,1,1,9.0,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,1,1,1,10.0,The molasses spilled all over the floor,0,,,
10,1,1,1,11.0,"and the bear rubbed his paw in it, smearing it all over",1,4,The bear had his paw in a jar of molasses,
11,1,1,1,12.0,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
12,1,1,1,13.0,Standing on its hind legs,0,,,
13,1,1,1,14.0,it held up the paw full of molasses,0,,,
14,1,1,1,15.0,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,1,1,1,16.0,all over the sticky sweet paw,0,,,
16,1,1,1,17.0,Then the bear waded into the water,1,5,The bear then went back to the river,
17,1,1,1,18.0,with his sticky paw full of bugs,0,,,
18,1,1,1,19.0,It held the paw out over the water,1,6,He waved his paw over the water,
19,1,1,1,20.0,"Suddenly, a big trout came jumping out of the water trying to get to the flies",0,,,
20,1,1,1,21.0,The bear gave it a swat and it flew to the shore and flopped there,1,7,a trout appeared. He threw it to the side of the river,
21,1,1,1,22.0,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
22,1,1,1,23.0,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,8,He cuffed every one to the side of the river,
23,1,1,1,24.0,Soon it had a large pile,0,,,
24,1,1,1,25.0,The old man had caught nothing,0,,,
25,1,1,1,26.0,He watched that bear eat half a dozen trout,0,,,
26,1,1,1,27.0,his stomach rumbling,1,12,The old mans stomach was rumbling,
27,1,1,1,28.0,All he had for dinner was some bread and what was left of the molasses,1,13,All he had for dinner was a bread and leftover molasses,
28,1,1,1,29.0,Finally the bear paused in his eating,0,,,
29,1,1,1,30.0,and looked over to the bushes where the old man was hidden,1,9,The bear saw the old man hiding,
30,1,1,1,31.0,The bear stood up and laid the remaining fish in a row,1,11,in a line,
31,1,1,1,32.0,Then it walked away up the shore,0,,,
32,1,1,1,33.0,The old man crept out of the bushes and down to the shore,0,,,
33,1,1,1,34.0,"Sure enough, the bear had left six large trout for him",1,10,then laid six trout,
34,1,1,1,35.0,He looked over at the bear,0,,,
35,1,1,1,36.0,It was standing at the edge of the wood watching,0,,,
36,1,1,1,37.0,"""Thanks a lot,"" the old man called to the bear",1,14,The old man says thank you to the bear,
37,1,1,1,38.0,The bear waved the now-clean paw at the old man,1,15,The bear waves his now clean paw back to the man,
38,1,1,1,39.0,and disappeared into the thicket,0,,,
39,1,1,1,40.0,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
40,1,1,1,41.0,The old man never hunted bears again,1,16,This is the last time I hunt bear he thought,
41,1,1,2,1.0,One fine day an old Maine man was fishing ,1,1,One fine day an old Maine man was catching fish ,
42,1,1,2,2.0,on his favorite lake ,1,2,on his favorite lake,
43,1,1,2,3.0,and catching very little,1,3,He was catching very little,
44,1,1,2,4.0,"Finally, he gave up",0,,,
45,1,1,2,5.0,and walked back along the shore to his fishing shack,1,4,He returned to his fishing shack ,
46,1,1,2,6.0,"When he got close to the front door, he saw it was open.",1,5,When he got close he realized the front door was open,
47,1,1,2,7.0,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,6,Being of a suspicious nature he crept around to see who was inside,
48,1,1,2,8.0,There was a big black bear,1,7,There was a big black bear,
49,1,1,2,9.0,It was just pulling the cork out of his molasses jug with its teeth,0,,,
50,1,1,2,10.0,The molasses spilled all over the floor,1,9,The jar fell to the ground and shattered and the molasses was all over the floor,
51,1,1,2,11.0,"and the bear rubbed his paw in it, smearing it all over",1,10,The bear rubbed his paws in it ,
52,1,1,2,12.0,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,8,The old man screamed scaring the bear;and ran to the side of the lake,
53,1,1,2,13.0,Standing on its hind legs,1,12,There it stood on its hind legs ,
54,1,1,2,14.0,it held up the paw full of molasses,1,13,waving it paws in the air,
55,1,1,2,15.0,Soon all the flies and bugs and mosquitoes were swarming,1,14,Soon a swarm of flies surrounded his paw,
56,1,1,2,16.0,all over the sticky sweet paw,0,,,
57,1,1,2,17.0,Then the bear waded into the water,1,15,The bear crept into the lake ,
58,1,1,2,18.0,with his sticky paw full of bugs,0,,,
59,1,1,2,19.0,It held the paw out over the water,0,,,
60,1,1,2,20.0,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,16,a large trout jumped out of the water to eat the flies,
61,1,1,2,21.0,The bear gave it a swat and it flew to the shore and flopped there,0,,,
62,1,1,2,22.0,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
63,1,1,2,23.0,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,17,The bear continued to catch trout. He cuffs everyone to the side of the lake,
64,1,1,2,24.0,Soon it had a large pile,0,,,
65,1,1,2,25.0,The old man had caught nothing,0,,,
66,1,1,2,26.0,He watched that bear eat half a dozen trout,0,,,
67,1,1,2,27.0,his stomach rumbling,0,,,
68,1,1,2,28.0,All he had for dinner was some bread and what was left of the molasses,0,,,
69,1,1,2,29.0,Finally the bear paused in his eating,0,,,
70,1,1,2,30.0,and looked over to the bushes where the old man was hidden,1,18,He eventually looks up and sees the old man hiding,
71,1,1,2,31.0,The bear stood up and laid the remaining fish in a row,1,19,Eventually the bear lines up the remaining fish,
72,1,1,2,32.0,Then it walked away up the shore,1,20,and leaves,
73,1,1,2,33.0,The old man crept out of the bushes and down to the shore,0,,,
74,1,1,2,34.0,"Sure enough, the bear had left six large trout for him",0,,,
75,1,1,2,35.0,He looked over at the bear,0,,,
76,1,1,2,36.0,It was standing at the edge of the wood watching,0,,,
77,1,1,2,37.0,"""Thanks a lot,"" the old man called to the bear",0,,,
78,1,1,2,38.0,The bear waved the now-clean paw at the old man,0,,,
79,1,1,2,39.0,and disappeared into the thicket,0,,,
80,1,1,2,40.0,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
81,1,1,2,41.0,The old man never hunted bears again,0,,,
82,1,1,3,1.0,One fine day an old Maine man was fishing ,0,,,
83,1,1,3,2.0,on his favorite lake ,0,,,
84,1,1,3,3.0,and catching very little,1,1,He was not catching anything,
85,1,1,3,4.0,"Finally, he gave up",0,,,
86,1,1,3,5.0,and walked back along the shore to his fishing shack,0,,,
87,1,1,3,6.0,"When he got close to the front door, he saw it was open.",0,,,
88,1,1,3,7.0,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,2,he saw something suspicious going on in his house,
89,1,1,3,8.0,There was a big black bear,0,,,
90,1,1,3,9.0,It was just pulling the cork out of his molasses jug with its teeth,0,,,
91,1,1,3,10.0,The molasses spilled all over the floor,0,,,
92,1,1,3,11.0,"and the bear rubbed his paw in it, smearing it all over",1,3,smears honey all over his paws,
93,1,1,3,12.0,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
94,1,1,3,13.0,Standing on its hind legs,0,,,
95,1,1,3,14.0,it held up the paw full of molasses,1,4,waves his paws in the air,
96,1,1,3,15.0,Soon all the flies and bugs and mosquitoes were swarming,0,,,
97,1,1,3,16.0,all over the sticky sweet paw,0,,,
98,1,1,3,17.0,Then the bear waded into the water,1,6,bear goes to the river,
99,1,1,3,18.0,with his sticky paw full of bugs,1,5,bugs get caught in them,
100,1,1,3,19.0,It held the paw out over the water,1,7,puts his paw near the water,
101,1,1,3,20.0,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,8,a trout jumps in to eat the bugs,
102,1,1,3,21.0,The bear gave it a swat and it flew to the shore and flopped there,0,,,
103,1,1,3,22.0,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
104,1,1,3,23.0,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,9,The bear then cuffs lots of fish to the side of the river,
105,1,1,3,24.0,Soon it had a large pile,0,,,
106,1,1,3,25.0,The old man had caught nothing,0,,,
107,1,1,3,26.0,He watched that bear eat half a dozen trout,0,,,
108,1,1,3,27.0,his stomach rumbling,0,,,
109,1,1,3,28.0,All he had for dinner was some bread and what was left of the molasses,0,,,
110,1,1,3,29.0,Finally the bear paused in his eating,0,,,
111,1,1,3,30.0,and looked over to the bushes where the old man was hidden,1,10,The man is watching from behind a bush,
112,1,1,3,31.0,The bear stood up and laid the remaining fish in a row,0,,,
113,1,1,3,32.0,Then it walked away up the shore,0,,,
114,1,1,3,33.0,The old man crept out of the bushes and down to the shore,0,,,
115,1,1,3,34.0,"Sure enough, the bear had left six large trout for him",1,11,leaves six large trout for the fisherman,Changed 6 to six
116,1,1,3,35.0,He looked over at the bear,0,,,
117,1,1,3,36.0,It was standing at the edge of the wood watching,0,,,
118,1,1,3,37.0,"""Thanks a lot,"" the old man called to the bear",0,,,
119,1,1,3,38.0,The bear waved the now-clean paw at the old man,0,,,
120,1,1,3,39.0,and disappeared into the thicket,0,,,
121,1,1,3,40.0,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
122,1,1,3,41.0,The old man never hunted bears again,1,12,says he will never hunt bears again,
123,1,2,1,1.0,I was shopping at my local supermarket,1,1,I was shopping at my local supermarket ,
124,1,2,1,2.0,as I normally have for years.,1,2,like I’ve done for years,
125,1,2,1,3.0,"One particular day, I had done about 2 weeks’ worth of shopping",0,,,
126,1,2,1,4.0,and was headed toward the register to pay for my groceries.,1,3,I got up to the counter ,
127,1,2,1,5.0,I reached into my back right pocket,1,4,reached my hand into my back right pocket,Changed reaches to reached
128,1,2,1,6.0,to grab the money to pay,0,,,
129,1,2,1,7.0,and noticed that there was no money in there.,1,5,There was nothing there,
130,1,2,1,8.0,I started to get nervous.,0,,,
131,1,2,1,9.0,I knew my pocket book was in the car ,1,7,I had taken out of my pocket book in the car,
132,1,2,1,10.0,and I was sure I had put the money in my back right pocket.,0,,,
133,1,2,1,11.0,"I look at cashier with a confused look,",1,6,I gave the cashier a confused look,
134,1,2,1,12.0,not knowing what to do.,0,,,
135,1,2,1,13.0,There were people behind me on the line ,0,,,
136,1,2,1,14.0,and I immediately thought about the money I left in the car,0,,,
137,1,2,1,15.0,that was intended to pay rent this month.,1,8,That money was meant to be  for my rent that month,
138,1,2,1,16.0,She told me to speak with the courtesy counter.,1,9,The cashier told me to go to the courtesy counter,
139,1,2,1,17.0,"I laughed and said,",1,10,I laughed and said,
140,1,2,1,18.0,"""But it was cash, no one would hand that in!""  ",1,11,no one would turn in cash,
141,1,2,1,19.0,I decided that there was no harm in checking ,1,13,and asked anyways,
142,1,2,1,20.0,so I walked up to a woman behind the counter ,1,12,I went to the counter ,
143,1,2,1,21.0,"and said ""I have to ask, did anyone turn in cash by any chance?""",0,,,
