,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations
0,3,1,1,1,One fine day an old Maine man was fishing ,1,1,There was an old man who had gone fishing,
1,3,1,1,2,on his favorite lake ,0,,,
2,3,1,1,3,and catching very little,1,2,was catching nothing,
3,3,1,1,4,"Finally, he gave up",1,3,"Finally, he just gave up",
4,3,1,1,5,and walked back along the shore to his fishing shack,1,4,went back to his fishing shack,
5,3,1,1,6,"When he got close to the front door, he saw it was open.",1,5,"When he got here, he saw that the front door",Incomplete but counted in orig. data
6,3,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,6,"Being of a suspicious nature, he looked inside",
7,3,1,1,8,There was a big black bear,1,7,There was a big bear,
8,3,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,3,1,1,10,The molasses spilled all over the floor,0,,,
10,3,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,3,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,8,The old man screamed. The bear startled and walked out to the lake front,
12,3,1,1,13,Standing on its hind legs,0,,,
13,3,1,1,14,it held up the paw full of molasses,0,,,
14,3,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,1,10,Bugs and Flies and mosquitoes ,
15,3,1,1,16,all over the sticky sweet paw,1,12,sticky sweet paw,
16,3,1,1,17,Then the bear waded into the water,1,9,waded into the water,
17,3,1,1,18,with his sticky paw full of bugs,1,11,stuck to the,
18,3,1,1,19,It held the paw out over the water,0,,,
19,3,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,13,a trout jumped out to get the bugs,
20,3,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,14,bear swatted it to the shore,
21,3,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,15,This happened again,
22,3,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,16,and each time it did that bear swatted the trout onto a pile on the shore,
23,3,1,1,24,Soon it had a large pile,0,,,
24,3,1,1,25,The old man had caught nothing,1,17,The old man had caught nothing,
25,3,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,3,1,1,27,his stomach rumbling,1,18,His stomach rumbled,Changed he to his
27,3,1,1,28,All he had for dinner was some bread and what was left of the molasses,1,,,
28,3,1,1,29,Finally the bear paused in his eating,0,,,
29,3,1,1,30,and looked over to the bushes where the old man was hidden,1,19,The bear looked at the bushes where the old man was hidden,
30,3,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,3,1,1,32,Then it walked away up the shore,1,21,ambled off into the woods,
32,3,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,3,1,1,34,"Sure enough, the bear had left six large trout for him",1,20,He laid out six trout ,
34,3,1,1,35,He looked over at the bear,0,,,
35,3,1,1,36,It was standing at the edge of the wood watching,0,,,
36,3,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,3,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,3,1,1,39,and disappeared into the thicket,0,,,
39,3,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",1,22,"“Well,” said the old man, “that’s the first time a bear has ever paid me”.",
40,3,1,1,41,The old man never hunted bears again,0,,,
41,3,1,2,1,One fine day an old Maine man was fishing ,1,1, One fine day an old Maine man had gone fishing,
42,3,1,2,2,on his favorite lake ,1,2,on his favorite lake,
43,3,1,2,3,and catching very little,1,3,caught very little,
44,3,1,2,4,"Finally, he gave up",1,4,"Finally, he just gave and up",
45,3,1,2,5,and walked back along the shore to his fishing shack,1,5,starting walking home along the lake shore,
46,3,1,2,6,"When he got close to the front door, he saw it was open.",1,6,"We he got close to his fishing shack, he saw that the front door was open",
47,3,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,7,"Being of a suspicious nature, he looked inside",
48,3,1,2,8,There was a big black bear,1,8,He saw a big black bear,
49,3,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,1,9,It was just pulling the cork off the molasses jugs with its teeth,
50,3,1,2,10,The molasses spilled all over the floor,0,,,
51,3,1,2,11,"and the bear rubbed his paw in it, smearing it all over",1,10,He smeared the molasses on the floor with his paw,
52,3,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,11,"The old man screamed out loud, causing the bear to startle. It ran off towards the water",
53,3,1,2,13,Standing on its hind legs,0,,,
54,3,1,2,14,it held up the paw full of molasses,0,,,
55,3,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,13,All the bugs and flies and mosquitoes flew to,
56,3,1,2,16,all over the sticky sweet paw,1,14,the sticky sweet paw,
57,3,1,2,17,Then the bear waded into the water,1,12,and waded in,
58,3,1,2,18,with his sticky paw full of bugs,0,,,
59,3,1,2,19,It held the paw out over the water,1,15,held its paw over the water,
60,3,1,2,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,16,Soon enough a trout jumped up to get the flies on the sticky sweet paw,
61,3,1,2,21,The bear gave it a swat and it flew to the shore and flopped there,1,17,As soon as it did the bear swatted it towards the shore,
62,3,1,2,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,18,"Then another trout did the same, and another",
63,3,1,2,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,19,Each time the bear cuffed the trout towards the shore,
64,3,1,2,24,Soon it had a large pile,0,,,
65,3,1,2,25,The old man had caught nothing,1,20,The old man had caught nothing,
66,3,1,2,26,He watched that bear eat half a dozen trout,0,,,
67,3,1,2,27,his stomach rumbling,1,22,His stomach rumbled ,
68,3,1,2,28,All he had for dinner was some bread and what was left of the molasses,1,21,had eating bread and the left over molasses for dinner,
69,3,1,2,29,Finally the bear paused in his eating,0,,,
70,3,1,2,30,and looked over to the bushes where the old man was hidden,1,23,Eventually the bear looked over towards the bushes where the old man was hidden,
71,3,1,2,31,The bear stood up and laid the remaining fish in a row,0,,,
72,3,1,2,32,Then it walked away up the shore,1,24,walked down the shore,
73,3,1,2,33,The old man crept out of the bushes and down to the shore,0,,,
74,3,1,2,34,"Sure enough, the bear had left six large trout for him",1,25,sure enough the bear had left him six trout,
75,3,1,2,35,He looked over at the bear,0,,,
76,3,1,2,36,It was standing at the edge of the wood watching,0,,,
77,3,1,2,37,"""Thanks a lot,"" the old man called to the bear",1,26,"“Thanks a lot,” he called out",
78,3,1,2,38,The bear waved the now-clean paw at the old man,0,,,
79,3,1,2,39,and disappeared into the thicket,1,27,disappeared into the woods,
80,3,1,2,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",1,28,"“Well, that’s the first time a bear has ever paid me for me molasses,” said the old man",
81,3,1,2,41,The old man never hunted bears again,1,29,He never hunted bear again,
82,3,1,3,1,One fine day an old Maine man was fishing ,0,,,
83,3,1,3,2,on his favorite lake ,1,1,on his favorite lake ,
84,3,1,3,3,and catching very little,1,2,he just wasn’t catching any fish that day,Not counted originally
85,3,1,3,4,"Finally, he gave up",1,3,Finally he just gave up ,
86,3,1,3,5,and walked back along the shore to his fishing shack,1,4,headed to his fishing shack,
87,3,1,3,6,"When he got close to the front door, he saw it was open.",1,5,When he got there the front door was open,
88,3,1,3,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,6,being of a suspicious nature he went to go inspect the situation,
89,3,1,3,8,There was a big black bear,0,,,
90,3,1,3,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
91,3,1,3,10,The molasses spilled all over the floor,0,,,
92,3,1,3,11,"and the bear rubbed his paw in it, smearing it all over",1,7,smearing his paw along the ground,
93,3,1,3,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
