,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,17,1,1,1,One fine day an old Maine man was fishing ,1,1,One fine day an old Maine man was fishing at the shore,
1,17,1,1,2,on his favorite lake ,0,,,
2,17,1,1,3,and catching very little,1,2,He was having little luck catching fish,
3,17,1,1,4,"Finally, he gave up",0,,,
4,17,1,1,5,and walked back along the shore to his fishing shack,1,3,He went home to his house ,
5,17,1,1,6,"When he got close to the front door, he saw it was open.",0,,,
6,17,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,17,1,1,8,There was a big black bear,1,4,saw a big black bear ,
8,17,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,17,1,1,10,The molasses spilled all over the floor,0,,,
10,17,1,1,11,"and the bear rubbed his paw in it, smearing it all over",1,5,stuck his humongous paw inside the jar,
11,17,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
12,17,1,1,13,Standing on its hind legs,0,,,
13,17,1,1,14,it held up the paw full of molasses,1,6,The bear began to wave his hand around,
14,17,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,17,1,1,16,all over the sticky sweet paw,0,,,
16,17,1,1,17,Then the bear waded into the water,1,7,The bear then went to the water,
17,17,1,1,18,with his sticky paw full of bugs,0,,,
18,17,1,1,19,It held the paw out over the water,1,8,and put his paw in the water.  ,
19,17,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,9,Trout started to jump out of the water ,
20,17,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,
21,17,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
22,17,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,
23,17,1,1,24,Soon it had a large pile,0,,,
24,17,1,1,25,The old man had caught nothing,1,10,while the fisherman caught none,
25,17,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,17,1,1,27,his stomach rumbling,1,11,his stomach was rumbling,
