,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations
0,4,1,1,1,One fine day an old Maine man was fishing ,1,1,Once there was an old Maine man. The Main man was fishing ,Changed Main to Maine
1,4,1,1,2,on his favorite lake ,0,,,
2,4,1,1,3,and catching very little,1,2,could not catch anything,
3,4,1,1,4,"Finally, he gave up",0,,,
4,4,1,1,5,and walked back along the shore to his fishing shack,0,,,
5,4,1,1,6,"When he got close to the front door, he saw it was open.",0,,,
6,4,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,4,1,1,8,There was a big black bear,0,,,
8,4,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,4,1,1,10,The molasses spilled all over the floor,1,3,"The bear dropped the molasses, causing a spill on the floor",
10,4,1,1,11,"and the bear rubbed his paw in it, smearing it all over",1,4,and he wiped his paw in the molasses on the floor making a large sticky mess. ,
11,4,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,5,"Seeing the bear, the man was extremely startled and he screamed. Then, the bear was startled by his scream and ran away",
12,4,1,1,13,Standing on its hind legs,0,,,
13,4,1,1,14,it held up the paw full of molasses,0,,,
14,4,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,4,1,1,16,all over the sticky sweet paw,1,6,with his sticky paw,
16,4,1,1,17,Then the bear waded into the water,0,,,
17,4,1,1,18,with his sticky paw full of bugs,1,8,There were a lot of flies surrounding him because they sensed the molasses,
18,4,1,1,19,It held the paw out over the water,1,7,he splashed in the water with his sticky paw covered in molasses,
19,4,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,9,The fish from the water jumped up to catch the flies,
20,4,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,
21,4,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
22,4,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,10,"Every time a fish jumped to get the flies, the bear swatted it away",
23,4,1,1,24,Soon it had a large pile,0,,,
24,4,1,1,25,The old man had caught nothing,1,11,whereas he had nothing,
25,4,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,4,1,1,27,his stomach rumbling,1,12,"his stomach was rumbling, ",
27,4,1,1,28,All he had for dinner was some bread and what was left of the molasses,1,13,as he had only eaten some bread with the leftover molasses for dinner,
28,4,1,1,29,Finally the bear paused in his eating,0,,,
29,4,1,1,30,and looked over to the bushes where the old man was hidden,1,14,The bear looked at the man,
30,4,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,4,1,1,32,Then it walked away up the shore,0,,,
32,4,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,4,1,1,34,"Sure enough, the bear had left six large trout for him",1,15,there were six large trout left in a row for him to eat,Changed 6 to six
34,4,1,1,35,He looked over at the bear,0,,,
35,4,1,1,36,It was standing at the edge of the wood watching,0,,,
36,4,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,4,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,4,1,1,39,and disappeared into the thicket,0,,,
39,4,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",1,16,"The man thought, wow, this is the first time a bear has ever thanked me for some molasses",
40,4,1,1,41,The old man never hunted bears again,1,17,He vowed to never hunt bear again,
41,4,1,2,1,One fine day an old Maine man was fishing ,0,,,
42,4,1,2,2,on his favorite lake ,0,,,
43,4,1,2,3,and catching very little,1,1,The man caught nothing,
44,4,1,2,4,"Finally, he gave up",0,,,
45,4,1,2,5,and walked back along the shore to his fishing shack,1,2,As he was heading back to his fishing shed,
46,4,1,2,6,"When he got close to the front door, he saw it was open.",1,3,he saw the door was open,
47,4,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,4,"Being the suspicious man that he was, he peered inside to see what was there",
48,4,1,2,8,There was a big black bear,1,5,big black bear ,
49,4,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
50,4,1,2,10,The molasses spilled all over the floor,1,6,spilled molasses everywhere,
51,4,1,2,11,"and the bear rubbed his paw in it, smearing it all over",1,7,He wiped the floor with his paw,
52,4,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,9,"When the man saw this, he screamed, and the bear was so startled that he started to run toward the lake shore",
53,4,1,2,13,Standing on its hind legs,1,10,On his hind legs,
54,4,1,2,14,it held up the paw full of molasses,1,11,he kept his paw in the air,
55,4,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,12,flies started to swarm his paw to get to the sweet and sticky molasses,
