,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations
0,6,1,1,1,One fine day an old Maine man was fishing ,1,1,One fine day a man was fishing,
1,6,1,1,2,on his favorite lake ,0,,,
2,6,1,1,3,and catching very little,1,2,but was not having much luck,
3,6,1,1,4,"Finally, he gave up",0,,,
4,6,1,1,5,and walked back along the shore to his fishing shack,1,3,He decided to walk back to his shack by the shore,
5,6,1,1,6,"When he got close to the front door, he saw it was open.",0,,,
6,6,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,6,1,1,8,There was a big black bear,1,4,a big black bear ,
8,6,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,6,1,1,10,The molasses spilled all over the floor,0,,,
10,6,1,1,11,"and the bear rubbed his paw in it, smearing it all over",1,5,The bear was smearing the sticky molasses on the floor with his big paws,
11,6,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,6,"Shocked, the man screamed startling the bear, and he ran out of the shack towards the shore ",
12,6,1,1,13,Standing on its hind legs,0,,,
13,6,1,1,14,it held up the paw full of molasses,0,,,
14,6,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,1,7,"flies, bugs, and mosquitoes were attracted",
15,6,1,1,16,all over the sticky sweet paw,1,8,his sticky paws,
16,6,1,1,17,Then the bear waded into the water,1,9,He ran to the shore ,
17,6,1,1,18,with his sticky paw full of bugs,1,10,"his sticky, bug covered paws ",
18,6,1,1,19,It held the paw out over the water,0,,,
19,6,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,11,when a fish jumped up,Changed just to jumped
20,6,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,12,The bear swatter the fish with his paw and it landed on the shore side flapping around,
21,6,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,13,Then another fish jumped up ,
22,6,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,14,the bear swatted it the same way,
23,6,1,1,24,Soon it had a large pile,0,,,
24,6,1,1,25,The old man had caught nothing,0,,,
25,6,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,6,1,1,27,his stomach rumbling,0,,,
27,6,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,
28,6,1,1,29,Finally the bear paused in his eating,0,,,
29,6,1,1,30,and looked over to the bushes where the old man was hidden,0,,,
30,6,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,6,1,1,32,Then it walked away up the shore,0,,,
32,6,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,6,1,1,34,"Sure enough, the bear had left six large trout for him",0,,,
34,6,1,1,35,He looked over at the bear,0,,,
35,6,1,1,36,It was standing at the edge of the wood watching,0,,,
36,6,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,6,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,6,1,1,39,and disappeared into the thicket,0,,,
39,6,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
40,6,1,1,41,The old man never hunted bears again,0,,,
41,6,1,2,1,One fine day an old Maine man was fishing ,1,1,One fine day and old man from maine was fishing,
42,6,1,2,2,on his favorite lake ,0,,,
43,6,1,2,3,and catching very little,1,2,He was not having much luck ,
44,6,1,2,4,"Finally, he gave up",0,,,
45,6,1,2,5,and walked back along the shore to his fishing shack,1,3,decided he would head back to his fishing shack,
46,6,1,2,6,"When he got close to the front door, he saw it was open.",1,4,"When he got there, he noticed the door was open",Changed I to he
