,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,13,1,1,1,One fine day an old Maine man was fishing ,0,,,
1,13,1,1,2,on his favorite lake ,0,,,
2,13,1,1,3,and catching very little,0,,,
3,13,1,1,4,"Finally, he gave up",0,,,
4,13,1,1,5,and walked back along the shore to his fishing shack,0,,,
5,13,1,1,6,"When he got close to the front door, he saw it was open.",0,,,
6,13,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,13,1,1,8,There was a big black bear,1,1,a large black bear,
8,13,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,13,1,1,10,The molasses spilled all over the floor,0,,,
10,13,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,13,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
12,13,1,1,13,Standing on its hind legs,0,,,
13,13,1,1,14,it held up the paw full of molasses,0,,,
14,13,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,1,2,"and attracts flies, other insects, and all sort of bugs",
15,13,1,1,16,all over the sticky sweet paw,0,,,
16,13,1,1,17,Then the bear waded into the water,0,,,
17,13,1,1,18,with his sticky paw full of bugs,0,,,
18,13,1,1,19,It held the paw out over the water,0,,,
19,13,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,3,"a trout flies hopping out of  the water, attracted to the scene by the flies",
20,13,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,
21,13,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
22,13,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,
23,13,1,1,24,Soon it had a large pile,0,,,
24,13,1,1,25,The old man had caught nothing,0,,,
25,13,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,13,1,1,27,his stomach rumbling,0,,,
27,13,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,
28,13,1,1,29,Finally the bear paused in his eating,0,,,
29,13,1,1,30,and looked over to the bushes where the old man was hidden,0,,,
30,13,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,13,1,1,32,Then it walked away up the shore,0,,,
32,13,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,13,1,1,34,"Sure enough, the bear had left six large trout for him",0,,,
34,13,1,1,35,He looked over at the bear,0,,,
35,13,1,1,36,It was standing at the edge of the wood watching,0,,,
36,13,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,13,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,13,1,1,39,and disappeared into the thicket,0,,,
39,13,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
40,13,1,1,41,The old man never hunted bears again,0,,,
41,13,1,2,1,One fine day an old Maine man was fishing ,1,1,"One fine day an old marine man, went to his fishing hole to hunt",
42,13,1,2,2,on his favorite lake ,0,,,
43,13,1,2,3,and catching very little,0,,,
44,13,1,2,4,"Finally, he gave up",0,,,
45,13,1,2,5,and walked back along the shore to his fishing shack,1,2,"He went to the old wooden shack of a cabin, near the lake",
46,13,1,2,6,"When he got close to the front door, he saw it was open.",1,3,When he arrived the door was open ,
47,13,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
48,13,1,2,8,There was a big black bear,1,5,the larger black bear,
49,13,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
50,13,1,2,10,The molasses spilled all over the floor,0,,,
51,13,1,2,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
52,13,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",0,,,
53,13,1,2,13,Standing on its hind legs,0,,,
54,13,1,2,14,it held up the paw full of molasses,0,,,
55,13,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,4,"Oozing and attracting all sorts of bugs. All sort of insects, flies and such were drawn to the molasses ",
56,13,1,2,16,all over the sticky sweet paw,0,,,
57,13,1,2,17,Then the bear waded into the water,0,,,
58,13,1,2,18,with his sticky paw full of bugs,0,,,
59,13,1,2,19,It held the paw out over the water,0,,,
60,13,1,2,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,6,A giant trout hops out of the pond,
61,13,1,2,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,
62,13,1,2,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,
63,13,1,2,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,
64,13,1,2,24,Soon it had a large pile,0,,,
65,13,1,2,25,The old man had caught nothing,0,,,
66,13,1,2,26,He watched that bear eat half a dozen trout,0,,,
67,13,1,2,27,his stomach rumbling,0,,,
68,13,1,2,28,All he had for dinner was some bread and what was left of the molasses,0,,,
69,13,1,2,29,Finally the bear paused in his eating,0,,,
70,13,1,2,30,and looked over to the bushes where the old man was hidden,0,,,
71,13,1,2,31,The bear stood up and laid the remaining fish in a row,0,,,
72,13,1,2,32,Then it walked away up the shore,0,,,
73,13,1,2,33,The old man crept out of the bushes and down to the shore,0,,,
74,13,1,2,34,"Sure enough, the bear had left six large trout for him",0,,,
75,13,1,2,35,He looked over at the bear,0,,,
76,13,1,2,36,It was standing at the edge of the wood watching,0,,,
77,13,1,2,37,"""Thanks a lot,"" the old man called to the bear",0,,,
78,13,1,2,38,The bear waved the now-clean paw at the old man,0,,,
79,13,1,2,39,and disappeared into the thicket,0,,,
80,13,1,2,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
81,13,1,2,41,The old man never hunted bears again,0,,,
