,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations
0,12,1,1,1,One fine day an old Maine man was fishing ,1,1,One day there was an old man fisherman ,
1,12,1,1,2,on his favorite lake ,0,,,
2,12,1,1,3,and catching very little,1,2,who had been unsuccessful catching fish that day,
3,12,1,1,4,"Finally, he gave up",0,,,
4,12,1,1,5,and walked back along the shore to his fishing shack,1,3,So he returned home,
5,12,1,1,6,"When he got close to the front door, he saw it was open.",1,4,only to see that his door was not as he had left it. ,
6,12,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,12,1,1,8,There was a big black bear,1,5,saw a big black bear ,
8,12,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,
9,12,1,1,10,The molasses spilled all over the floor,0,,,
10,12,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,12,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,6,The fisherman screamed and the bear got frightened and ran to shore,
12,12,1,1,13,Standing on its hind legs,0,,,
13,12,1,1,14,it held up the paw full of molasses,0,,,"Miscounted and excluded from original data, more applicable to idea unit 19"
14,12,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,1,8,soon bugs and flies were swarming its arm trying to get a taste of the molasses,
15,12,1,1,16,all over the sticky sweet paw,0,,,
16,12,1,1,17,Then the bear waded into the water,0,,,
17,12,1,1,18,with his sticky paw full of bugs,0,,,
18,12,1,1,19,It held the paw out over the water,1,7,"On the shore, it lifted its molasses-filled paw in the air",
19,12,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,9;11,the trout from the water jumped out;to attack the flies surrounding the molasses paw,
20,12,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,12,but the black bear swatted at them,
21,12,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,10,kept trying ,
22,12,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,13,"each time, killing them",
23,12,1,1,24,Soon it had a large pile,0,,,
