,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,10,1,1,1,One fine day an old Maine man was fishing ,1,1,One fine day an old man was down by the lake fishing for trout,
1,10,1,1,2,on his favorite lake ,0,,,
2,10,1,1,3,and catching very little,1,2,he was having no luck catching any,
3,10,1,1,4,"Finally, he gave up",0,,,
4,10,1,1,5,and walked back along the shore to his fishing shack,1,3,He returned to his fishing shack ,
5,10,1,1,6,"When he got close to the front door, he saw it was open.",1,4,saw that the door was open,
6,10,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,10,1,1,8,There was a big black bear,1,5,Inside he saw a black bear ,
8,10,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,1,6,The bear was pulling the cork out of the barrel ,
9,10,1,1,10,The molasses spilled all over the floor,1,7,the molasses was pouring onto the floor,
10,10,1,1,11,"and the bear rubbed his paw in it, smearing it all over",1,8,The bear then rubbed his paws in the molasses,
11,10,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,9,The old man yelled at the bear to get out and the bear was so startled it ran straight towards the lake shore,
12,10,1,1,13,Standing on its hind legs,1,10,The bear stood up on two hind legs ,
13,10,1,1,14,it held up the paw full of molasses,0,,,Counted same line for 14 & 19 but best applies to 19 so excluded here.
14,10,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,10,1,1,16,all over the sticky sweet paw,0,,,
16,10,1,1,17,Then the bear waded into the water,0,,,
17,10,1,1,18,with his sticky paw full of bugs,0,,,
18,10,1,1,19,It held the paw out over the water,1,11,held out his paw over the water ,
19,10,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",0,,,Miscounted in original data excluded here
20,10,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,0,,,Miscounted in original data excluded here
21,10,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,12,Soon trout were jumping out of the water trying to catch the flies,
22,10,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,13,each time the trout jumped out of the water the bear swatted the trout onto the shore,
23,10,1,1,24,Soon it had a large pile,0,,,
24,10,1,1,25,The old man had caught nothing,0,,,
25,10,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,10,1,1,27,his stomach rumbling,1,14,The old mans stomach was rumbling ,
